CODICE_VOLANTINO,ART_COD,FORECAST
23NB,OMNA23,424.4952053558332
23MC,OMNA23,243.05557059955032
23NB,OMNS23ULTRA256GR,0.0
23MC,OMNS23ULTRA256GR,0.0
23NA,OOPA38,477.6680197659023
23NC,OOPA38,675.4587461219622
23MC,OOPA38,386.36134417101545
23MD,OOPA584G6128,635.6109441795378
23NB,OOPA584G6128,824.4456405344704
23NC,OOPA584G6128,733.7694995742183
23MD,OOPA584G6128GR,231.0473971120317
23NB,OOPA584G6128GR,433.4765814756606
23NC,OOPA584G6128GR,369.55911029894116
23MB,OOPA784G8128,504.29196435667296
23NB,OOPA784G8128,665.7424732829513
23NC,OOPA784G8128,561.7785423999118
23MC,OOPA784G8128,460.28768574732965
23MB,OOPA784G8128GR,289.346260556685
23NB,OOPA784G8128GR,479.8802694539054
23NC,OOPA784G8128GR,390.6829850213727
23MC,OOPA784G8128GR,237.64384448627152
23NC,OOPRENO10PROP,238.04936050799503
23NC,OOPRENO8LITE5G,326.72947175988435
23NC,OOPRENO8T4G,443.32180095038194
23NC,OOPRENO8T4GO,254.27803972037833
23MB,RME115G8256G,58.28712915781949
23MD,RME115G8256G,95.11827299196199
23NC,RME115G8256G,157.36290499039032
23MD,RME11PRO8256W,265.53825015775715
23NC,RME11PRO8256W,133.31891960491737
23NB,RME11PROPLUS12512,394.5316858112443
23NC,RME11PROPLUS12512,308.14635498881375
23NA,RMEC55128WH,255.12178552336383
23MC,RMEC55128WH,404.86175303735183
23MD,SAMA34256,893.2877929033614
23NB,SAMA34256,1255.99576273005
23MA,SAMA34256,889.1276063442419
23MD,SAMA34256G,384.98274682354094
23NB,SAMA34256G,613.1502301559647
23MA,SAMA34256G,337.73419281186506
23MD,SAMA34256S,549.9803877258104
23NB,SAMA34256S,836.9389848992561
23MA,SAMA34256S,505.95436626392666
23MD,SAMA34256V,470.46564922421396
23NB,SAMA34256V,718.4891903392747
23MA,SAMA34256V,413.8875851593976
23NA,SAMA53EE,360.14865819858767
23MA,SAMA53NE,195.67619198765138
23MA,SAMA53OR,193.52369512513027
23MB,SAMA54256,1150.5127604029685
23NB,SAMA54256,1384.5139540097923
23MB,SAMA54256G,412.2885714160582
23NB,SAMA54256G,498.62488220414343
23MB,SAMA54256V,482.1658844771216
23NB,SAMA54256V,614.7537348131838
23MB,SAMA54256W,468.11077582563036
23NB,SAMA54256W,597.1734925242871
23NB,SAMF721128B,219.99582030994873
23NB,SAMF721128P,221.30093360857566
23MA,SAMFLIP5256,218.70137121048802
23NA,SAMFLIP5256,285.61949502470463
23NC,SAMFLIP5256,401.30820211819827
23MA,SAMFLIP5256C,0.0
23NA,SAMFLIP5256C,0.0
23NC,SAMFLIP5256C,108.07914129464785
23MA,SAMFLIP5512,234.14309718244309
23MC,SAMFLIP5512,240.2296466014519
23MA,SAMFLIP5512C,0.0
23MC,SAMFLIP5512C,0.0
23MB,SAMFOLD5256,25.086188395374165
23MB,SAMFOLD5256C,0.0
23MA,SAMS23128,436.3950299930057
23NA,SAMS23128,531.1832486507187
23MA,SAMS23128G,79.24663456023336
